latitude(deg),longitude(deg),time(ms),elevation(m),velocity(m/s),bearing(deg)
58.96561,23.186946,1127000,108.081,11.85638641,230.1016743
58.965601,23.186746,1128000,108.227,11.51220046,265.0116667
58.965601,23.186551,1129000,109.775,11.1818822,270.0000835
58.965597,23.185181,1136000,109.682,11.22302209,269.6761096
58.965527,23.184163,1141000,109.47,11.77843149,262.4034065
58.965454,23.183602,1144000,113.009,11.0594577,255.8347658
58.965129,23.181365,1156000,115.882,11.10612021,254.2631391
58.965008,23.180812,1159000,119.261,11.48296145,247.0036239
58.964862,23.180059,1163000,123.001,11.53317888,249.3902085
58.964738,23.179514,1166000,126.032,11.38687909,246.1879671
58.964291,23.178127,1174000,128.767,11.72474923,237.991394
58.96422,23.17797,1175000,129.302,11.97586048,228.7447814
58.963582,23.177351,1181000,128.517,13.22423743,206.5755748
58.963146,23.176936,1185000,128.45,13.5049011,206.139802
58.962935,23.176715,1187000,129.582,13.3360926,208.3703158
58.962507,23.176278,1191000,130.494,13.44961235,207.7641946
58.961411,23.174954,1202000,132.375,13.05612947,211.918041
58.961226,23.174692,1204000,133.228,12.73950128,216.1379526
58.960698,23.173871,1210000,130.067,12.54536786,218.7213552
58.960089,23.172627,1218000,127.344,12.29738654,226.486809
58.959556,23.171317,1226000,125.069,11.96305986,231.7249954
58.959457,23.170977,1228000,123.325,11.19713493,240.5473647
58.959381,23.170629,1230000,121.515,10.83761614,247.0460665
58.959365,23.170253,1232000,118.112,10.81908191,265.2825694
58.959458,23.169564,1236000,115.682,10.21195959,284.6692331
58.959666,23.168802,1241000,113.268,9.8897605,297.8957274
58.960129,23.167557,1250000,109.556,9.781896594,305.8003703
58.960216,23.167266,1252000,105.891,9.645925359,300.1056652
58.960293,23.166969,1254000,104.672,9.532703079,296.693307
58.960451,23.167095,1258000,101.121,4.750369835,22.35237397
58.960469,23.167098,1260000,99.986,1.004726016,4.911829409
58.960696,23.165947,1262000,97.686,35.33759525,290.9315925
58.960804,23.165508,1265000,93.988,9.298659544,295.5068039
58.960808,23.165331,1266000,94.271,10.16086517,272.5096389
58.96109,23.163077,1280000,91.701,9.501387308,283.6396724
58.961212,23.162628,1283000,91.812,9.702309665,297.7879991
58.961779,23.161208,1294000,92.331,9.363712472,307.755107
58.961993,23.160691,1298000,93.966,9.505423018,308.757466
58.962168,23.159946,1303000,94.683,9.389965721,294.4933697
58.962763,23.159567,1311000,92.412,8.707173048,341.8187472
58.96294,23.159916,1313000,92.785,14.03702208,45.4721184
58.963393,23.161069,1319000,93.709,13.85510535,52.69145219
58.963751,23.161654,1323000,95.274,13.01680545,40.11398307
58.964372,23.161674,1330000,91.793,9.868717991,0.9512826723
58.964476,23.16141,1332000,91.353,9.526267029,307.383011
58.964724,23.160546,1338000,90.186,9.451142394,299.1068017
58.964976,23.159867,1343000,89.094,9.595196973,305.7489124
58.96533,23.159151,1349000,89.039,9.481103734,313.8008747
58.966223,23.157631,1363000,91.13,9.438978638,318.7326677
